arm,rank,command,invocations,share,cumulative_share
arm0,1,cd,986,0.31321,0.31321
arm0,2,grep,331,0.10515,0.41836
arm0,3,python,327,0.10388,0.52224
arm0,4,sed,267,0.08482,0.60705
arm0,5,tail,236,0.07497,0.68202
arm0,6,git,224,0.07116,0.75318
arm0,7,head,204,0.0648,0.81798
arm0,8,python3,192,0.06099,0.87897
arm0,9,echo,83,0.02637,0.90534
arm0,10,cat,80,0.02541,0.93075
arm0,11,find,42,0.01334,0.94409
arm0,12,ls,27,0.00858,0.95267
arm0,13,pip,26,0.00826,0.96093
arm0,14,curl,20,0.00635,0.96728
arm0,15,mkdir,14,0.00445,0.97173
arm0,16,rm,11,0.00349,0.97522
arm0,17,timeout,10,0.00318,0.9784
arm0,18,diff,9,0.00286,0.98126
arm0,19,xargs,7,0.00222,0.98348
arm0,20,ps,7,0.00222,0.98571
arm0,21,mv,6,0.00191,0.98761
arm0,22,wc,5,0.00159,0.9892
arm0,23,tee,5,0.00159,0.99079
arm0,24,cp,4,0.00127,0.99206
arm0,25,touch,4,0.00127,0.99333
arm0,26,tar,3,0.00095,0.99428
arm0,27,unzip,3,0.00095,0.99524
arm0,28,sort,3,0.00095,0.99619
arm0,29,nohup,2,0.00064,0.99682
arm0,30,kill,2,0.00064,0.99746
arm0,31,./venv_$v/bin/pip,2,0.00064,0.99809
arm0,32,/tmp/venv_$v/bin/python,2,0.00064,0.99873
arm0,33,sleep,1,0.00032,0.99905
arm0,34,pylint,1,0.00032,0.99936
arm0,35,which,1,0.00032,0.99968
arm0,36,true,1,0.00032,1.0
arm1,1,cd,1234,0.23905,0.23905
arm1,2,grep,958,0.18559,0.42464
arm1,3,awk,475,0.09202,0.51666
arm1,4,python,420,0.08136,0.59802
arm1,5,head,378,0.07323,0.67125
arm1,6,tail,337,0.06528,0.73654
arm1,7,tee,298,0.05773,0.79427
arm1,8,git,229,0.04436,0.83863
arm1,9,ls,172,0.03332,0.87195
arm1,10,sed,139,0.02693,0.89888
arm1,11,echo,113,0.02189,0.92077
arm1,12,wc,91,0.01763,0.9384
arm1,13,find,62,0.01201,0.95041
arm1,14,cat,58,0.01124,0.96164
arm1,15,curl,44,0.00852,0.97017
arm1,16,python3,42,0.00814,0.9783
arm1,17,cp,17,0.00329,0.9816
arm1,18,rm,17,0.00329,0.98489
arm1,19,pip,16,0.0031,0.98799
arm1,20,diff,15,0.00291,0.9909
arm1,21,mkdir,12,0.00232,0.99322
arm1,22,true,9,0.00174,0.99496
arm1,23,which,6,0.00116,0.99613
arm1,24,xargs,4,0.00077,0.9969
arm1,25,mv,3,0.00058,0.99748
arm1,26,:,2,0.00039,0.99787
arm1,27,sort,2,0.00039,0.99826
arm1,28,python3.9,2,0.00039,0.99864
arm1,29,touch,2,0.00039,0.99903
arm1,30,timeout,2,0.00039,0.99942
arm1,31,runtests.py,1,0.00019,0.99961
arm1,32,printf,1,0.00019,0.99981
arm1,33,test,1,0.00019,1.0
arm2,1,cd,251,0.27047,0.27047
arm2,2,sed,237,0.25539,0.52586
arm2,3,grep,122,0.13147,0.65733
arm2,4,awk,67,0.0722,0.72953
arm2,5,python,60,0.06466,0.79418
arm2,6,tail,47,0.05065,0.84483
arm2,7,head,40,0.0431,0.88793
arm2,8,git,31,0.03341,0.92134
arm2,9,tee,19,0.02047,0.94181
arm2,10,cat,13,0.01401,0.95582
arm2,11,wc,8,0.00862,0.96444
arm2,12,echo,8,0.00862,0.97306
arm2,13,python3,5,0.00539,0.97845
arm2,14,ls,5,0.00539,0.98384
arm2,15,curl,3,0.00323,0.98707
arm2,16,find,2,0.00216,0.98922
arm2,17,rm,2,0.00216,0.99138
arm2,18,xargs,1,0.00108,0.99246
arm2,19,pip,1,0.00108,0.99353
arm2,20,printf,1,0.00108,0.99461
arm2,21,mkdir,1,0.00108,0.99569
arm2,22,mv,1,0.00108,0.99677
arm2,23,timeout,1,0.00108,0.99784
arm2,24,true,1,0.00108,0.99892
arm2,25,diff,1,0.00108,1.0
