arm,rank,command,invocations,share,cumulative_share
arm0,1,cd,1943,0.31952,0.31952
arm0,2,python,869,0.1429,0.46242
arm0,3,grep,621,0.10212,0.56455
arm0,4,sed,523,0.08601,0.65055
arm0,5,tail,487,0.08009,0.73064
arm0,6,git,445,0.07318,0.80382
arm0,7,head,335,0.05509,0.8589
arm0,8,python3,212,0.03486,0.89377
arm0,9,echo,166,0.0273,0.92107
arm0,10,cat,121,0.0199,0.94096
arm0,11,find,72,0.01184,0.9528
arm0,12,ls,49,0.00806,0.96086
arm0,13,pip,44,0.00724,0.9681
arm0,14,curl,30,0.00493,0.97303
arm0,15,rm,22,0.00362,0.97665
arm0,16,mkdir,20,0.00329,0.97994
arm0,17,xargs,16,0.00263,0.98257
arm0,18,diff,14,0.0023,0.98487
arm0,19,sort,11,0.00181,0.98668
arm0,20,timeout,10,0.00164,0.98832
arm0,21,unzip,9,0.00148,0.9898
arm0,22,mv,8,0.00132,0.99112
arm0,23,touch,8,0.00132,0.99244
arm0,24,wc,7,0.00115,0.99359
arm0,25,cp,7,0.00115,0.99474
arm0,26,tar,5,0.00082,0.99556
arm0,27,tee,5,0.00082,0.99638
arm0,28,awk,5,0.00082,0.9972
arm0,29,sleep,3,0.00049,0.9977
arm0,30,ps,3,0.00049,0.99819
arm0,31,test,2,0.00033,0.99852
arm0,32,black,2,0.00033,0.99885
arm0,33,printf,1,0.00016,0.99901
arm0,34,comm,1,0.00016,0.99918
arm0,35,date,1,0.00016,0.99934
arm0,36,true,1,0.00016,0.99951
arm0,37,wait,1,0.00016,0.99967
arm0,38,nohup,1,0.00016,0.99984
arm0,39,pkill,1,0.00016,1.0
arm1,1,cd,2433,0.25423,0.25423
arm1,2,grep,1598,0.16698,0.42121
arm1,3,sed,1124,0.11745,0.53866
arm1,4,python,885,0.09248,0.63114
arm1,5,head,704,0.07356,0.7047
arm1,6,tail,664,0.06938,0.77409
arm1,7,awk,467,0.0488,0.82288
arm1,8,ls,416,0.04347,0.86635
arm1,9,git,381,0.03981,0.90617
arm1,10,tee,242,0.02529,0.93145
arm1,11,echo,173,0.01808,0.94953
arm1,12,cat,108,0.01129,0.96082
arm1,13,python3,63,0.00658,0.9674
arm1,14,curl,58,0.00606,0.97346
arm1,15,find,52,0.00543,0.97889
arm1,16,wc,39,0.00408,0.98297
arm1,17,pip,26,0.00272,0.98568
arm1,18,rm,24,0.00251,0.98819
arm1,19,true,20,0.00209,0.99028
arm1,20,which,20,0.00209,0.99237
arm1,21,mkdir,15,0.00157,0.99394
arm1,22,pytest,14,0.00146,0.9954
arm1,23,diff,11,0.00115,0.99655
arm1,24,xargs,5,0.00052,0.99707
arm1,25,sort,4,0.00042,0.99749
arm1,26,cp,4,0.00042,0.99791
arm1,27,test,3,0.00031,0.99822
arm1,28,printf,3,0.00031,0.99854
arm1,29,:,2,0.00021,0.99875
arm1,30,env,2,0.00021,0.99896
arm1,31,python3.9,2,0.00021,0.99916
arm1,32,touch,2,0.00021,0.99937
arm1,33,readlink,1,0.0001,0.99948
arm1,34,mv,1,0.0001,0.99958
arm1,35,conda,1,0.0001,0.99969
arm1,36,pylint,1,0.0001,0.99979
arm1,37,runtests.py,1,0.0001,0.9999
arm1,38,python3.10,1,0.0001,1.0
